svenska,engelska
föreläsning,lecture
förening,association
förkyld,has a cold
formad,shaped
förmåga,ability
förmodligen,probably
förresten,"by the way, besides"
försiktigt,"carefully, cautiously"
forskare,researcher
förstås,of course
försvar,defense
försvunnen,missing
fortfarande,"still, yet"
förut,"before, in the past"
förutom,except
fräckhet,audacity
fräckt,cheeky
framåt,forward
framförallt,"especially, above all"
framkomligheten,accessibility
fredsjedom,peace
frisk,healthy
fritid,free time
fruktan,fear
fullständigt,completely
fundament,foundation
fyr,"lighthouse, beacon"
galen,"crazy, mad"
gångväg,walking distance
ganska,quite
garage,"garage at home, multistorey car park"
gärna,willingly
gata,street
gest,gesture
glatt,cheerfully
glögg,mulled wine
grann,neighbour
grönsaker,vegetables
grus,gravel
haka,chin
hållbar,sustainable
hållplats,bus stop
hamn,port
handstil,handwriting
hängig,not very well
hård,hard
härlig,lovely
häromdagen,the other day
hastigt,hastily
hektisk,hectic
helt enkelt,simply
hemifrån,from home
hemlighet,secret
hemsida,website
hemsk,awful
himmel,"sky, heaven"
hit,here
höft,hip
höger,right (direction)
honung,honey
hopsjunken,shrunken
hörn,corner
hosta,cough
hov,court / hoof
hud,skin
hundhalsband,dog collar
huvtröja,hoodie
hy,skin
i samband med,in connection with
i själva verket,in fact
igelkott,hedgehog
ihop,"together, combined"
ilska,anger
inblandade,involved
inbördeskrig,civil war
inlagd,"pickled, potted"
innan,before
inredning,decor
instängd,confined
intill,next to
isär,"apart, asunder"
istället,instead
iväg,"away, along"
jämförelse,comparison
järn,iron
jättebra,"great, super"
jobbigt,difficult
ju,"of course, why"
julbelysnig,fairy lights
jungfruolja,virgin olive oil
kakelsplattor,ceramic tiles
kalkon,turkey
källare,"basement, cellar"
kännedom,knowledge
känsla,feeling
karta,map
kind,cheek
klämma,"clip, clamp"
klättare,climber
klok,wise
knöl,tuber
koj,bunk
kolkraft,coal
konstigt,weird
konstnär,painter artist
körkort,driver's license
kräfta,crayfish
kraftig,powerful
krage,collar
kranvatten,tap water
kråsang,croissant
krav,requirement
kring,around (physically surrounding)
kronärtskocka,artichoke
krya på dig,get well soon
kudde,pillow
kunskap,knowledge
kuvert,envelope
läder,leather
lag,law
lägenhet,apartment
långsam,"slow, lingering"
länk,"link, chain"
lår,thigh
läsk,fizzy drink
låst,locked
lätt,easy
läxa,homework
ledsen,"sorry, sad"
len,soft
liksom,"as well as, like, somehow"
ljudlöst,silently
ljusstake,candlestick
lock,"lid, cover / lock or curl of hair"
lodjur,lynx
luftig,airy
lur,receiver
mage,stomach
mäktig,powerful
målare,painter decorator
mängd,"amount, quantity"
mantel,"cloak, jacket"
mark,"ground, land"
medan,while
medvetet,deliberately
minne,memory
mitt emot,opposite (preposition)
mjukt,smoothly
mode,fashion
möjlighet,"ability, opportunity"
möjligt,possible
molniga,cloudy
mörk,dark
mössa,wooly hat
mot,"against, towards"
motsvarighet,"counterpart, equivalent"
mun,mouth
mutbrott,bribery
myggmedel,mosquito repellant
mysigt,cozy
nacke,"neck, back of head"
någon,someone
någonstans,"somewhere, anywhere"
någonting,"anything, something"
naken,nude
nära,near
närhet,vicinity
nästan,almost
nät,"web, net"
nedför,downwards
nog,enough
nöjd,"content, happy"
nyfikenhet,curiosity
nyligen,recently
nytta,"benefit, use"
obehag,discomfort
odugling,good-for-nothing
oförklarligt,inexplicable
ökänd,infamous
ökning,"growth, increase"
olika,different (various)
olycka,accident
ombord,"on board, aboard"
omkring,"about, around"
område,"area, region"
ordförande,chairperson
orolig,worried
oskiljaktig,inseparable
ötack,"nasty, scary"
ovanför,above
övergrepp,abuse
översättning,translation
övrig,"other, remaining"
par,couple (of something)
parkeringsplats,carpark
påse,bag
pentryt,kitchenette
pigg,full of energy
pil,"arrow, dart"
plötsligt,suddenly
prästkrage,"priest collar, daisies"
prat,chat
princip,principle
prosit,bless you
räck,"rail, bar"
rackarunge,scallywag
räckhåll,"grasp, reach"
råd,"advice, counsel"
rädd,scared
rakt,"straight, directly"
raseriutbrott,tantrum
ratt,steering wheel
rätta,rightly
rättslig,legal
redan,already
regering,government
rejält,considerably
rektor,headmaster
resa,"journey, trip"
riksdag,parliament
riktning,direction
roligt,fun
rörelse,"movement, motion"
röst,voice
rostigt,rusty
rulltrappa,escalator
rumsren,housetrained
rygg,back (spine)
ryggsäck,rucksack
rykte,rumour
sådana,such
säkert,surely
säl,seal
sällan,"rarely, seldom"
salong,lounge
samlare,collector
samtal,"talk, call"
sanna,true 
särskilt,"in particular, notably"
såsom,such as
sätt,"way, manner"
sedan,then
senap,mustard
senaste,latest
sjuksköterska,nurse
skakande,shaking
skäl,reason
skala,scale
skämt,"joke, banter"
skär,very small island
skärgård,archipelago
sken,glow
skickliget,skill
skiljedom,arbitration
skock,crowd
skugga,shadow
skulle,would
skylt,"sign, signpost"
slående,strikingly
slag,"kind, type"
släkte,genus
slapp,"limp, flaccid"
smal,"narrow, slim"
smaragd,emerald
snabb,fast
snygg,handsome
söder,south
solsken,sunshine
solstol,deck chair
sömnig,sleepy
sopor,garbage
spegel,mirror
spridning,proliferation
sprit,"alcohol, spirits"
staket,fence
ställning,position
steg,"steps, ladder"
stiltje,"calm, lull"
stolta,proud
stolthet,pride
större,"major, bigger"
stråle,"beam, jet"
strålkastare,"spotlight, floodlight, headlamp"
sträng,strict
strax,soon
strimmig,streaky
ström,"stream, current"
sund,sound / strait
svagt,faint
sval,cool (tempterature)
svamp,sponge / fungus
svärföräldrar,parents in law
svårt,difficult
svartsjuk,jealous
sylt,jam
synd,"sin, pity, shame"
syssla,"work, chore"
tå,toe
tåg,train
tak,"ceiling, roof"
tålmodig,"patient, long-suffering"
tändsticksask,matchbox
tanke,thought
tävling,"competition, contest"
tecken,"sign, clue"
teckning,drawing
tillbaka,"back, backwards"
tillfälle,"opportunity, occasion"
tillstånd,permission
tonsättare,composer
torsk,cod
trä,wood
trädgård,garden
trafikstörningar,traffic disruptions
tråkigt,boring
trappa,staircase
trots,despite
tröttsam,tiresome
tung,heavy
tunn,thin
tunnelbana,subway
tvärt,sharply
tydligen,apparently
tyg,fabric
typ,"sort of, -ish / type"
tyvärr,unfortunately
uggla,owl
undan,"away, out of the way"
under,during
undrande,wondering
ung,young
ungdom,"adolescent, youth"
ungefär,approximately
uppfart,driveway
upphetsat,excitedly
uppretad,enraged
uppsägning,"redundancy, termination"
upptagen,"taken, unavailable"
upptagit,busy currently
utanför,outside
utåt,outwards
utgåva,edition
utkant,"outskirts, edge"
utredning,investigation
utstyrsel,outfit
vadå,what
våg,weighing scales
väga,wall
vagn,carriage (of a train)
våld,violence
valp,puppy
valseger,victory
vandrarhem,hostel
vanliga,usual
vänster,left (direction)
vapen,weapon(s)
varandra,each other
varav,of which
varje,"each, every"
varken,neither
väska,bag
våt,wet
vattenslang,hose
verkligen,"indeed, really"
verkställande,executive
vidare,further
vilande,"dormant, resting"
vilja,"will, volition"
vindruta,windscreen
viss,"certain, assured"
vuxen,"adult, grown up"
yta,surface
ytterligare,"further, additional"
ytterst,exceedingly
läskig,scary
att gräva,to dig
grävling,badger
att klippa sig,to get a haircut
fösenat,delayed
förrätt,starter course
huvudrätt,main course
efterrätt,dessert
häxa,witch
röd dag,bank holiday
att kära,to be in love
att beskriva,to describe
snuvig,sniffly
självsäker,confident
överväldigad,overwhelmed
friluftsbutik,outdoor gear shop
låda,box
bokhylla,bookshelf
mögel,"mould, fungus"
obegripligt,incomprehensible
låg,low
glänta,glade
tät,dense
tuva,tuft
fjäril,butterfly
humla,bumblebee
att tveka,to hesitate
att peta av,to pick off
genans,embarrassment
omedelbart,immediately
gudinna,goddess
att darra,to tremble
att gömma,to hide
ivriga,eager
ömtåligt,fragile
svullen,swollen
att slicka,to lick
att putta,to push
att sträcka på sig,to stretch (your body)
slarvig,careless
fästing,tick (parasite)
ambassad,embassy
skinka,ham
slickepott,spatula
foppatofflor,crocs
att vifta,to wave
avfärdande,dismissively
kastrull,saucepan
märkligt,strange
fuktigt,moist
att svabba,to mop
anledning,reason
knottrig,lumpy
skrov,hull
dämpat,subdued
att knarra,to creak
att återvanda,to return
vik,bay
att vinka,to wave
grumligt,"muddy, cloudy"
stripigt,straggly
att kvida,to whimper
andedräkt,breath
att utstråla,to radiate
att blåsa ut,to blow out
att jämra,to moan
att kväva,"to choke, suffocate"
redskapslåda,toolbox
osäkert,uncertain
invånare,"resident, inhabitant"
otänkbart,unthinkable
att sakta,to slow down
båtshake,boot hook
utmattad,exhausted
panna,forehead
att grimasera,to grimace
smärta,pain
förtvivlan,despair
snäv,narrow
båge,arc
att dåna,to thunder
brygga,"jetty, wharf"
att knaka,to crack
svallvåg,"surge, backwash"
flisa,splinter
att halka,to slip
försprång,"advantage, lead"
obetydligt,slightly
att flämta,to gasp
ansvar,reponsibility
belägen,"located, situated"
oansenlig,inconspicuous
välbesökt,"well attended, popular"
trasig,broken
högtalare,speaker
dansgolv,dance floor
berusad,drunk
att tränga,to force one's way
att svepa,"to wrap, to sweep, to knock back a shot of alcohol"
att vingla,to wobble
ostadig,unsteady
otålig,impatient
att sträcka,"to stretch, extend"
handtag,handle
olåst,unlocked
gångjärn,hinge
tröskel,threshold
stillsam,quiet
angränsande,adjacent
sällskapsrum,lounge
fartyg,ship
genomskinlig,transparent
musikanläggning,music system
ruta,square
övre,upper
att sväva,to hover
övernaturlig,supernatural
evighet,eternity
tvättlina,clothes line
lampkrok,lamp hook
att peka,to point
att svälja,to swallow
tomma,empty
sannolikhet,probability
blekt,bleached
uppspärrade,suspended
pöl,"pool, puddle"
att dunsa,to thump
hammarslag,hammer blow
att hojta,to shout
ordentlig,properly
rotel,division
kutryggig,round shouldered
hägg,bird cherry tree
syren,lilac
att slås ut,to be knocked out
att bekämpa,to combat
grov,"course, rough"
brottslighet,crime
nivå,level
sluttning,slope
att kopplas,to be connected
röstbrevlåda,voicemail
att harkla sig,to clear ones throat
banderoll,banner
att bevaka,to guard
grabb,"lad, chap"
belastning,"load, strain"
att påminna,to remind
avslappnade,relaxed
affärsman,businessman
hästsvans,ponytail
att slänta,to slope
tugga,chew
att hejda sig,to hesitate
dröjande,"delaying, hesitating"
häromåret,a year or so ago
tvärsäker,absolutely sure
ordning,"order, sequence"
att ske,"to occur, be done, happen"
helhet,entirety
ansträngning,exertion
knappast,hardly
att brådska,to hurry
brådskar,urgency
att nämna,to mention
butter,sullen
skriftlig,written
dragning,drawing
smulor,crumbs
åtgärd,"action, measure"
att utöka,"to expand, enlarge"
att böja,to bend
inslagna,wrapped
plast,plastic
dillkvist,dill sprig
muntert,merrily
att gapskratta,to guffaw
att nypa,to pinch
underläpp,lower lip
att skruva,"to screw, to turn"
överens,in agreement
skiva,disc
stel,rigid
tjänst,service
att lova,to promise
därborta,over there
pågående,ongoing
sammanträde,meeting
svalka,coolness
sedvanlig,customary
anmälan,report
grind,gate
gavel,gable
att krypa,"to crawl, creep"
fluga,fly
mungipor,corner of the mouth
att avrätta,to execute
att konstatera,to ascertain
antagligen,presumably
skada,injury
halskotpelaren,the cervical spine
uppvisning,display
att dölja,to hide
tvärtom,on the contrary
att kisa,"to peer, squint"
förräderi,treason
sammanbitet,cohesive
att säkra,to secure
emballage,packaging
skoavtryck,shoeprints
imponerat,impressed
rent,purely
tambur,hallway
att överväga,to consider
dörröga,peephole
ånga,vapour
avsats,ledge
tidsinställd,"timed, delayed-action"
belysning,lighting
att slockna,to switch off
andetag,breath
andhämtning,respiration
glipa,gap
drag,features
översållad,strewn
kilklack,wedge heel
hertig,duke
begravning,funeral
att förföra,to seduce
sällsam,strange
bestick,cutlery
finne,pimple
att smeka,to caress
att bita,to bite
att kittla,to tickle
försenad,delayed
att invänta,to await
knappt,hardly
att påbörja,to begin
innebandy,floorball
övermakt,supremacy
att torna upp sig,to pile up
nyss,just
hushållerska,housekeeper
givetvis,of course
mardröm,nightmare
återhållsam,restrained
